BuildingType_Campus,BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_Nonresidential WA,BuildingType_SPS-District K-12,GroupedPropertyType_Educational Facilities,GroupedPropertyType_Food and Perishables,GroupedPropertyType_Healthcare Facilities,GroupedPropertyType_Hotels and Restaurants,GroupedPropertyType_Office Buildings,GroupedPropertyType_Retail and Others,GroupedPropertyType_Specialized Properties,GroupedPropertyType_Storage and Logistics,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DistanceToDowntown
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1928,1.0,9,65009,0,65009,48.0,101.5,97.80000305,153.6000061,149.8000031,6596057.5,6358719.5,1656352.5,393610.6875,1343000.0,35967.05078,3596705.0,328.23,5.05,0.2200748421908201
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1980,1.0,33,315952,57600,258352,58.0,75.5,76.19999695,179.8999939,180.6999969,22325364.0,22524948.0,4337738.5,4075083.0,13904183.0,40834.39844,4083440.0,648.62,2.05,0.35974404044464636
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1922,1.0,11,92190,25200,66990,35.0,159.5,165.8999939,297.3999939,303.8999939,10750010.0,11179203.0,4870847.5,1123203.125,3832369.0,20467.93359,2046793.0,511.39,5.55,0.2952400703619512
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2004,1.0,11,412000,57000,355000,,50.79999924,51.09999847,155.6000061,156.0,18588860.0,18706912.0,737559.5,5231916.0,17851297.0,0.0,0.0,181.38,0.44,0.17090652249604413
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1983,1.0,28,416281,85000,331281,31.0,96.30000305,98.59999847,228.5,232.8000031,33556756.0,34351920.0,0.0,6220773.0,21225277.0,123314.75,12331475.0,802.89,1.93,0.2912896629033105
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1907,1.0,5,57452,0,57452,,132.3999939,137.1000061,280.7000122,285.0,7606084.5,7877219.0,1776201.875,1103397.125,3764791.0,20650.91211,2065091.0,273.02,4.75,0.15181756090962936
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1916,1.0,10,104352,0,104352,39.0,97.30000305,97.30000305,225.5,225.5,10154608.0,10154608.0,3430862.0,1731644.125,5908370.0,8153.759766,815376.0,349.32,3.35,0.18697850381768877
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1916,1.0,10,540360,0,540360,76.0,83.69999695,87.5,182.6999969,186.6999969,44984468.0,47023088.0,0.0,7138872.5,24357833.0,206266.3125,20626631.0,1265.29,2.34,0.3506573416529873
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1985,1.0,19,385274,0,385274,,124.1999969,128.6000061,229.5,232.8999939,47859812.0,49539212.0,0.0,5351014.5,18257661.0,296021.5,29602150.0,1699.45,4.41,0.4128357948090331
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2001,1.0,6,88592,30586,58006,84.0,63.20000076,63.29999924,148.0,148.5,3663534.5,3673186.75,0.0,664194.375,2266231.0,13973.03027,1397303.0,90.01,1.02,6.186771767208524
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928,1.0,7,126593,0,126593,,90.69999695,97.5,173.0,180.0,11343686.0,12183313.0,0.0,1362096.75,4647474.0,66962.10938,6696211.0,388.04,3.07,1.4756757782524472
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1930,1.0,2,67224,0,67224,,19.5,19.5,61.20000076,61.20000076,1310236.625,1310236.625,0.0,384008.3125,1310236.0,0.0,0.0,9.13,0.14,1.130024901216321
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1991,1.0,8,158676,30301,128375,,45.5,46.29999924,58.0,58.79999924,5328051.5,5424942.0,0.0,167733.5,572307.0,47557.44922,4755745.0,256.57,1.62,0.9463291957996369
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2001,1.0,10,171866,38281,133585,57.0,85.80000305,86.69999695,181.1000061,180.6000061,11061916.0,11171407.0,0.0,1644403.75,5610706.0,54512.09766,5451210.0,328.63,1.91,1.4565816165801633
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1978,1.0,5,68410,16200,52210,57.0,92.90000153,95.0,199.6999969,206.3000031,4456714.5,4557974.0,0.0,687675.625,2346349.0,21103.65039,2110365.0,128.44,1.88,1.3289664728486001
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1906,1.0,3,87262,0,87262,,61.5,69.80000305,106.5,115.9000015,4145920.5,4703690.0,0.0,396495.6875,1352843.0,27930.77148,2793077.0,157.77,1.81,6.572015736367179
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1994,1.0,4,81871,0,81871,29.0,81.5,82.19999695,162.5,164.8999939,6668568.5,6731281.5,0.0,884056.0,3016399.0,36521.69141,3652169.0,215.0,2.63,7.227131759825435
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1955,1.0,2,110356,0,110356,,12.10000038,12.39999962,35.20000076,35.5,318364.8125,326223.0938,0.0,82434.0,281265.0,371.0,37100.0,3.93,0.04,6.909727976783636
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1992,1.0,3,494835,0,494835,8.0,221.6999969,233.1000061,388.2000122,400.2999878,448385312.0,471613856.0,0.0,44102076.0,150476283.0,2979090.0,297909000.0,16870.98,34.09,7.881198207620889
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1961,3.0,2,714095,0,714095,,46.40000153,45.79999924,145.8999939,143.8000031,44731160.0,44110016.0,0.0,13109951.0,44731153.0,0.0,0.0,311.84,0.44,10.94378209053789
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990,1.0,2,54986,0,54986,97.0,30.0,32.79999924,77.80000305,83.19999695,1650279.25,1802471.375,0.0,356855.0,1217589.0,4326.897461,432690.0,31.47,0.57,7.162873887245054
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1961,1.0,2,94900,0,94900,57.0,65.19999695,68.90000153,163.0,165.8999939,6186461.5,6536359.5,0.0,1257791.75,4291585.0,18948.75977,1894876.0,130.56,1.38,7.782338926474699
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1900,1.0,2,52554,0,52554,83.0,50.09999847,53.5,108.6999969,112.3000031,2951331.25,3150635.5,0.0,462998.0,1579749.0,13715.82031,1371582.0,83.86,1.6,3.2144559995903297
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954,1.0,3,175015,0,175015,95.0,40.0,45.09999847,74.0,80.40000153,6994740.5,7886505.5,0.0,785386.6875,2679739.0,43150.00781,4315001.0,247.85,1.42,9.329105459913396
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1911,1.0,3,70586,0,70586,,30.60000038,33.09999847,76.59999847,79.19999695,2158629.0,2331573.25,0.0,439691.9063,1500229.0,6584.0,658400.0,45.43,0.64,1.6315104150797077
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1969,1.0,24,332210,205970,126240,67.0,46.40000153,46.40000153,121.8000031,121.8000031,16163194.0,16163194.0,0.0,3576906.75,12204406.0,39587.86719,3958787.0,295.33,0.89,0.49474766681609406
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1973,1.0,5,168115,0,168115,78.0,56.29999924,56.29999924,176.6000061,176.6000061,9536161.0,9536161.0,0.0,2794888.75,9536160.0,0.0,0.0,66.48,0.4,0.7343137733945257
