Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_TotalGHGEmissions
LAKE UNION,Bâtiments d'Hébergement,2008.0,1.0,6.0,63371.0,74.0,1.6567589581806643,4.22038966907276
EAST,Bâtiments Commerciaux et Administratifs,1965.0,1.0,3.0,179014.0,48.0,1.234165093083162,6.068055149269695
EAST,Bâtiments d'Hébergement,1908.0,1.0,7.0,76631.0,71.0,0.667821373649339,5.575001684790276
LAKE UNION,Bâtiments de Vente et de Services,1929.0,1.0,2.0,58320.0,96.0,1.958618681254962,3.6903783302376723
LAKE UNION,Bâtiments Commerciaux et Administratifs,2010.0,1.0,5.0,316306.0,96.0,2.1485258307516353,4.940570419647969
LAKE UNION,Bâtiments d'Hébergement,1990.0,1.0,7.0,238097.0,37.0,2.380254625110922,6.268812152435704
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,1.0,389000.0,,2.43898877507852,6.410848996804957
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,1.0,91213.0,,2.43898877507852,5.844123959209273
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1938.0,1.0,5.0,396085.0,,2.43898877507852,6.691090693765636
LAKE UNION,Bâtiments Commerciaux et Administratifs,2010.0,1.0,12.0,571329.0,91.0,1.8022333805782187,6.427329527607229
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,2.0,52000.0,,2.4697290782908334,4.6330771392411
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1928.0,1.0,1.0,60696.0,,2.4697290782908334,1.9615022438151495
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1928.0,1.0,2.0,262048.0,,2.4960230705460216,6.197929785369379
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1986.0,1.0,2.0,63888.0,,2.3764606039538174,3.402529826895934
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,2010.0,1.0,6.0,616891.0,93.0,2.282369987990918,6.514846015317764
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1970.0,1.0,4.0,50283.0,68.0,2.541420745016368,3.907211448430924
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,2002.0,1.0,6.0,59976.0,56.0,2.6600567484251103,5.031352535684977
