Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,DistanceToDowntown,proportion_surface_parking,proportion_surface_building,Log_TotalGHGEmissions
LAKE UNION,Bâtiments d'Hébergement,1997.0,1.0,6.0,80.0,1.8397204167941925,0.24247635425623387,0.7575236457437661,5.096139981042732
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1998.0,1.0,6.0,81.0,2.5801992281721273,0.23614092363851363,0.7638590763614863,5.035392945221982
EAST,Bâtiments Éducatifs et Culturels,1911.0,1.0,3.0,76.0,3.796498454427959,0.0,1.0,4.9927428412546675
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1999.0,1.0,4.0,94.0,2.3899155055352597,0.36513965935156417,0.6348603406484359,5.151208501509824
CENTRAL,Bâtiments Commerciaux et Administratifs,1962.0,1.0,2.0,71.0,1.8425534383455677,0.0,1.0,4.488411625377895
LAKE UNION,Bâtiments d'Hébergement,2008.0,1.0,6.0,74.0,1.6567589581806643,0.2465072589562798,0.7534927410437202,4.22038966907276
EAST,Bâtiments Commerciaux et Administratifs,1965.0,1.0,3.0,48.0,1.234165093083162,0.0,1.0,6.068055149269695
EAST,Bâtiments d'Hébergement,1908.0,1.0,7.0,71.0,0.667821373649339,0.0,1.0,5.575001684790276
LAKE UNION,Bâtiments de Vente et de Services,1929.0,1.0,2.0,96.0,1.958618681254962,0.0,1.0,3.6903783302376723
LAKE UNION,Bâtiments Commerciaux et Administratifs,2010.0,1.0,5.0,96.0,2.1485258307516353,0.0,1.0,4.940570419647969
LAKE UNION,Bâtiments d'Hébergement,1990.0,1.0,7.0,37.0,2.380254625110922,0.15826035925518714,0.8417396407448129,6.268812152435704
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,1.0,,2.43898877507852,0.0,1.0,6.410848996804957
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,1.0,,2.43898877507852,0.0,1.0,5.844123959209273
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1938.0,1.0,5.0,,2.43898877507852,0.0,1.0,6.691090693765636
LAKE UNION,Bâtiments Commerciaux et Administratifs,2010.0,1.0,12.0,91.0,1.8022333805782187,0.0,1.0,6.427329527607229
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,2.0,,2.4697290782908334,0.0,1.0,4.6330771392411
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1928.0,1.0,1.0,,2.4697290782908334,0.0,1.0,1.9615022438151495
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1928.0,1.0,2.0,,2.4960230705460216,0.0,1.0,6.197929785369379
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1986.0,1.0,2.0,,2.3764606039538174,0.035507246376811595,0.9644927536231884,3.402529826895934
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,2010.0,1.0,6.0,93.0,2.282369987990918,0.3299018681335393,0.6700981318664607,6.514846015317764
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1970.0,1.0,4.0,68.0,2.541420745016368,0.3402306693083857,0.6597693306916143,3.907211448430924
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,2002.0,1.0,6.0,56.0,2.6600567484251103,0.3811164998452172,0.6188835001547828,5.031352535684977
NORTHEAST,Bâtiments d'Hébergement,1962.0,2.0,4.0,53.0,5.982837819138688,0.0,1.0,5.258536496536192
EAST,Bâtiments Éducatifs et Culturels,1923.0,1.0,3.0,34.0,2.9667153207152164,0.0,1.0,4.380149874661021
EAST,Bâtiments Éducatifs et Culturels,1908.0,1.0,6.0,100.0,3.245053440844963,0.0,1.0,5.498110404253996
SOUTHEAST,Bâtiments Commerciaux et Administratifs,2003.0,1.0,3.0,63.0,3.366838785002776,0.35955869781662025,0.6404413021833798,3.559340082758951
NORTHEAST,Bâtiments Autres,1941.0,1.0,4.0,,7.9277176354073156,0.0,1.0,3.8137484361598055
NORTHEAST,Bâtiments Autres,1929.0,1.0,2.0,,7.937539313757545,0.0,1.0,4.9021588177601725
NORTHWEST,Bâtiments d'Hébergement,2001.0,1.0,4.0,89.0,14.083169042172331,0.0,1.0,4.854293326261249
NORTHWEST,Bâtiments Éducatifs et Culturels,1959.0,1.0,1.0,92.0,13.420667436030552,0.0,1.0,6.09746735645105
NORTHWEST,Bâtiments d'Hébergement,2002.0,1.0,3.0,78.0,13.41326401523026,0.0,1.0,4.500031867864786
DOWNTOWN,Bâtiments d'Hébergement,1904.0,1.0,5.0,98.0,0.24186758710978964,0.0,1.0,4.965568190726947
DOWNTOWN,Bâtiments Autres,1998.0,1.0,6.0,,0.40945321732843337,0.0,1.0,6.064064239522326
BALLARD,Bâtiments de Soins de Santé,1954.0,4.0,5.0,14.0,7.7457736519881895,0.0,1.0,7.596643402621699
DOWNTOWN,Bâtiments Autres,2006.0,1.0,4.0,,0.6117204453715432,0.0,1.0,5.18037806868335
DOWNTOWN,Bâtiments Autres,1910.0,1.0,4.0,,1.117230407860815,0.1897830266410327,0.8102169733589674,3.8556642717587617
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1996.0,1.0,4.0,76.0,2.5471104305871695,0.08753436648543354,0.9124656335145664,5.435467204695271
EAST,Bâtiments Éducatifs et Culturels,1915.0,1.0,3.0,,1.4183235450213876,0.0,1.0,4.321878461837604
DELRIDGE,Bâtiments Éducatifs et Culturels,1970.0,27.0,2.0,,6.614248446077257,0.0,1.0,6.765304224182961
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,2.0,,9.657649930236186,0.0,1.0,5.407261453537216
GREATER DUWAMISH,Bâtiments Autres,1950.0,1.0,1.0,,1.4013254166222548,0.0,1.0,5.3234001469155
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1958.0,1.0,1.0,,8.304122199619414,0.0,1.0,4.130515758526928
GREATER DUWAMISH,Bâtiments Autres,2009.0,1.0,5.0,,8.410623865183291,0.0,1.0,4.6196646321385435
MAGNOLIA / QUEEN ANNE,Bâtiments Éducatifs et Culturels,1980.0,1.0,2.0,,5.566832264772774,0.0,1.0,4.656433479925633
NORTH,Bâtiments Éducatifs et Culturels,2011.0,1.0,2.0,96.0,11.780768987951683,0.0,1.0,5.410663426379575
CENTRAL,Bâtiments Autres,1971.0,3.0,6.0,,1.3623657005091443,0.0,1.0,6.048293740094025
DOWNTOWN,Bâtiments Autres,2004.0,1.0,11.0,,1.2211586742022917,0.22881599625505736,0.7711840037449427,7.628916379747266
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,2007.0,1.0,3.0,21.0,7.765906938142737,0.0,1.0,3.923556241241819
NORTH,Bâtiments de Vente et de Services,1951.0,1.0,1.0,98.0,11.421117714265959,0.0,1.0,6.585440353035913
NORTH,Bâtiments Autres,1964.0,1.0,3.0,,11.334412466173395,0.0,1.0,5.4490192489615294
NORTH,Bâtiments de Vente et de Services,1965.0,1.0,4.0,76.0,11.264255659167361,0.0,1.0,4.209160236650682
NORTHEAST,Bâtiments de Soins de Santé,1953.0,6.0,10.0,10.0,7.4790680289587375,0.0,1.0,9.005346121182038
NORTHWEST,Bâtiments Autres,1996.0,1.0,3.0,72.0,11.624133467048985,0.0,1.0,4.439115601658009
EAST,Bâtiments Industriels et de Stockage,1910.0,1.0,5.0,,1.4834837296577705,0.0,1.0,3.9533568689211234
NORTHWEST,Bâtiments Éducatifs et Culturels,1970.0,11.0,2.0,,10.489899207871458,0.16082625433672587,0.8391737456632741,5.8966592398340705
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1904.0,1.0,4.0,61.0,6.05228280080031,0.0,1.0,4.254761283628006
