Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_SiteEnergyUseWN(kBtu)
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1984.0,1.0,6.0,96630.0,45.0,0.6119235003051009,15.808291547471894
DOWNTOWN,Bâtiments d'Hébergement,1973.0,1.0,19.0,272787.0,6.0,0.5726962701685374,17.452679499088134
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1910.0,1.0,10.0,130513.0,49.0,0.597457048169026,16.28295682525785
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1920.0,1.0,8.0,60660.0,,0.5466644118076803,14.765668080909968
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1929.0,1.0,14.0,137350.0,89.0,0.5042609777352195,15.736107001590984
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1985.0,1.0,30.0,620338.0,72.0,0.6473249557582068,17.80402332682799
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1906.0,1.0,4.0,63540.0,72.0,0.6846176563789618,15.086570188426286
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1927.0,1.0,10.0,130893.0,80.0,0.6429737672754513,15.784484746818134
DOWNTOWN,Bâtiments Autres,1996.0,1.0,6.0,61423.0,,0.7396663894352267,16.084706381836625
DOWNTOWN,Bâtiments Autres,1996.0,1.0,4.0,100375.0,,0.7615628754108504,15.814070284810276
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1989.0,1.0,56.0,1215718.0,97.0,0.6133084483577087,17.747032242540257
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1980.0,1.0,36.0,794592.0,96.0,0.5270655328114309,17.123893539438207
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1971.0,1.0,21.0,363100.0,74.0,0.4685971105999418,16.832086534354254
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1986.0,1.0,12.0,100717.0,89.0,0.8029923577846141,15.37519094348444
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1999.0,1.0,4.0,70000.0,72.0,1.2475756015388577,15.3306142741671
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1998.0,1.0,11.0,189629.0,72.0,1.299884508629116,16.40545454619397
DOWNTOWN,Bâtiments Autres,1985.0,1.0,12.0,155500.0,,1.1189248861747922,16.4853037360813
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1923.0,1.0,11.0,102846.0,96.0,0.9329319704534426,15.6151783405528
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1925.0,1.0,4.0,52800.0,83.0,1.0357760478282152,14.731931181402155
DOWNTOWN,Bâtiments de Vente et de Services,1929.0,1.0,8.0,861702.0,,0.7464987673004627,16.68718906964012
EAST,Bâtiments Autres,1999.0,1.0,5.0,109550.0,,0.6448691648103373,16.76548298878349
EAST,Bâtiments Autres,1988.0,1.0,9.0,46710.0,,0.723916769016419,15.306119100024695
EAST,Bâtiments Commerciaux et Administratifs,1945.0,1.0,3.0,162000.0,65.0,0.723916769016419,16.455260790324115
EAST,Bâtiments Commerciaux et Administratifs,1992.0,1.0,14.0,282363.0,58.0,0.8437352015977934,16.867465827435698
LAKE UNION,Bâtiments d'Hébergement,1979.0,1.0,5.0,79608.0,34.0,1.9401369274145794,16.088457137539923
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1981.0,1.0,5.0,237282.0,77.0,2.810080796502874,16.61115842526611
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,2001.0,1.0,1.0,123061.0,59.0,4.973568991007055,14.502607283883611
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1963.0,1.0,1.0,59090.0,45.0,6.29276901557624,14.96416635202559
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1963.0,1.0,1.0,106000.0,93.0,6.478737946682196,13.54549222571245
LAKE UNION,Bâtiments Commerciaux et Administratifs,1962.0,1.0,3.0,120200.0,19.0,3.2128514320472217,16.7317589968128
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1960.0,1.0,1.0,119661.0,97.0,7.531396809198149,13.561734056624541
LAKE UNION,Bâtiments Commerciaux et Administratifs,2001.0,1.0,7.0,94472.0,81.0,2.7607776357361895,15.283983344488117
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1984.0,1.0,6.0,61800.0,95.0,2.3990890829707907,14.964553806816648
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1996.0,2.0,5.0,98055.0,83.0,2.771084356054305,15.549233080496554
LAKE UNION,Bâtiments Commerciaux et Administratifs,2001.0,1.0,3.0,56041.0,7.0,4.771636703834606,16.272725044755187
NORTH,Bâtiments Commerciaux et Administratifs,1974.0,1.0,5.0,74880.0,56.0,10.69072961811211,15.525962533903458
NORTH,Bâtiments Commerciaux et Administratifs,1979.0,1.0,6.0,88774.0,53.0,10.572869717179682,15.664484133925844
NORTH,Bâtiments Commerciaux et Administratifs,1983.0,1.0,5.0,122250.0,93.0,10.48118133143329,15.52671539684207
NORTH,Bâtiments Commerciaux et Administratifs,1979.0,1.0,4.0,53730.0,20.0,10.651262930537664,15.372152995671103
DELRIDGE,Bâtiments Commerciaux et Administratifs,1960.0,1.0,3.0,55593.0,55.0,4.801331577981903,15.300425069432485
LAKE UNION,Bâtiments Commerciaux et Administratifs,1982.0,1.0,4.0,73096.0,54.0,1.9680506746650759,15.40456146038387
GREATER DUWAMISH,Bâtiments de Vente et de Services,2005.0,1.0,1.0,158415.0,25.0,4.420522291308449,16.963691993155557
LAKE UNION,Bâtiments Commerciaux et Administratifs,1929.0,1.0,8.0,287819.0,,1.578166288014275,17.687482126083356
EAST,Bâtiments Autres,1975.0,1.0,8.0,158738.0,,0.6587226177854112,17.929898649835803
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1985.0,1.0,4.0,58195.0,81.0,2.428778778800338,14.920151885397814
BALLARD,Bâtiments de Vente et de Services,1999.0,1.0,1.0,164437.0,62.0,6.7129021019131585,16.76160999990433
LAKE UNION,Bâtiments Commerciaux et Administratifs,2009.0,1.0,5.0,118248.0,95.0,2.134045765862567,15.585276175917441
LAKE UNION,Bâtiments de Soins de Santé,1928.0,1.0,3.0,55200.0,,2.0733359565015923,16.306479627427812
LAKE UNION,Bâtiments de Soins de Santé,2003.0,1.0,4.0,129366.0,,1.9710045186448695,17.36357872808666
LAKE UNION,Bâtiments Commerciaux et Administratifs,2004.0,1.0,6.0,86700.0,96.0,2.012193648457621,14.990533427651162
LAKE UNION,Bâtiments Commerciaux et Administratifs,2009.0,1.0,5.0,172371.0,96.0,2.0975485717208846,15.889942572891398
LAKE UNION,Bâtiments Industriels et de Stockage,1914.0,1.0,5.0,127800.0,56.0,2.3023860985519224,14.849380037962868
LAKE UNION,Bâtiments Commerciaux et Administratifs,2002.0,1.0,5.0,353919.0,71.0,2.628302437859798,17.230007145182725
LAKE UNION,Bâtiments Commerciaux et Administratifs,2001.0,1.0,6.0,131592.0,49.0,2.3632001267268445,16.284684004108477
LAKE UNION,Bâtiments Autres,1997.0,1.0,5.0,535947.0,,2.628302437859798,18.73626573143058
LAKE UNION,Bâtiments Commerciaux et Administratifs,2006.0,1.0,4.0,136143.0,97.0,1.8414217160366997,15.749562027140453
LAKE UNION,Bâtiments Commerciaux et Administratifs,2006.0,1.0,6.0,193198.0,97.0,1.8438491964744874,15.837689445077167
LAKE UNION,Bâtiments de Soins de Santé,1963.0,1.0,4.0,102235.0,,2.1767852177647984,17.030508031742237
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1974.0,1.0,5.0,67236.0,80.0,2.658910069986308,15.084867510159693
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1972.0,1.0,5.0,66762.0,69.0,2.678311340025795,15.16046397482862
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1970.0,1.0,5.0,66762.0,86.0,2.678311340025795,15.12536384274291
NORTHEAST,Bâtiments Commerciaux et Administratifs,1988.0,1.0,4.0,108344.0,5.0,6.025206560671814,16.79705967438236
NORTHEAST,Bâtiments Commerciaux et Administratifs,1994.0,1.0,4.0,95995.0,21.0,6.094121852789816,15.946460233452019
BALLARD,Bâtiments Industriels et de Stockage,1946.0,2.0,2.0,111445.0,,8.344486574542458,15.62001479978869
SOUTHWEST,Bâtiments Industriels et de Stockage,1997.0,1.0,4.0,98475.0,83.0,4.916242683009551,13.97983159394231
LAKE UNION,Bâtiments de Soins de Santé,2000.0,1.0,7.0,201075.0,23.0,2.4261365952235945,17.580842057957486
NORTH,Bâtiments de Vente et de Services,1995.0,1.0,2.0,121087.0,78.0,13.555407980467017,16.513064734683013
GREATER DUWAMISH,Bâtiments de Vente et de Services,2008.0,1.0,1.0,63225.0,100.0,4.021687547464598,15.69077634502157
DELRIDGE,Bâtiments Autres,1955.0,1.0,1.0,113780.0,,4.650117606176358,15.207257526564613
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1999.0,1.0,1.0,243044.0,100.0,4.589221632728454,14.149181195196865
LAKE UNION,Bâtiments Autres,2001.0,1.0,3.0,123940.0,,5.093291453721603,16.259743032167375
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1952.0,1.0,3.0,53464.0,,3.434277039653177,15.743611706841863
NORTHWEST,Bâtiments de Vente et de Services,1997.0,1.0,1.0,131387.0,72.0,12.885337539750212,16.00708810971096
NORTHWEST,Bâtiments Industriels et de Stockage,1999.0,1.0,3.0,94400.0,38.0,13.21541140169908,13.593146546479923
NORTHWEST,Bâtiments Autres,1964.0,6.0,1.0,111900.0,,13.427273737499437,16.126063225369226
NORTHWEST,Bâtiments de Vente et de Services,1984.0,1.0,1.0,144776.0,56.0,13.692555292367196,16.442203693558554
NORTHWEST,Bâtiments de Vente et de Services,1967.0,1.0,1.0,114000.0,79.0,13.349493125107252,16.661898209073104
NORTHWEST,Bâtiments de Vente et de Services,1997.0,1.0,1.0,50083.0,78.0,13.199645718434885,16.00168261392512
LAKE UNION,Bâtiments Commerciaux et Administratifs,1988.0,1.0,3.0,95426.0,73.0,5.325666324930439,15.423219276203469
LAKE UNION,Bâtiments Commerciaux et Administratifs,2000.0,1.0,4.0,53472.0,84.0,5.1414788229650545,15.175907199393837
LAKE UNION,Bâtiments Commerciaux et Administratifs,2001.0,1.0,3.0,62332.0,70.0,4.996340579624544,15.504391429027633
LAKE UNION,Bâtiments Commerciaux et Administratifs,1999.0,1.0,3.0,166128.0,96.0,4.932398404168238,16.24256861461691
LAKE UNION,Bâtiments Commerciaux et Administratifs,1999.0,1.0,4.0,140302.0,89.0,5.007154981302412,15.973282110720557
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1982.0,1.0,5.0,268920.0,95.0,5.967346174220013,15.854635966737625
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1967.0,1.0,2.0,90000.0,87.0,6.146950080689389,14.199628341345242
GREATER DUWAMISH,Bâtiments de Vente et de Services,1966.0,1.0,1.0,50200.0,,6.10670010578159,13.992053366575725
BALLARD,Bâtiments Commerciaux et Administratifs,1925.0,1.0,6.0,87833.0,,8.09655379897973,15.436004526345837
BALLARD,Bâtiments Industriels et de Stockage,1941.0,1.0,2.0,63240.0,100.0,7.943375468066909,12.516914525328797
BALLARD,Bâtiments Autres,2008.0,1.0,5.0,140415.0,,7.085111087561431,16.685016520267748
MAGNOLIA / QUEEN ANNE,Bâtiments Industriels et de Stockage,1988.0,1.0,4.0,106893.0,,5.6223179467922755,13.050941084046105
MAGNOLIA / QUEEN ANNE,Bâtiments Industriels et de Stockage,1997.0,1.0,4.0,106041.0,94.0,6.426605744390017,14.042574016394074
MAGNOLIA / QUEEN ANNE,Bâtiments Industriels et de Stockage,1956.0,1.0,3.0,94470.0,,4.690969933215868,13.987562373523996
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2002.0,1.0,10.0,143508.0,88.0,0.733464277574951,15.867544352848071
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1966.0,1.0,1.0,22780.0,33.0,6.4052650306443555,12.90433748973192
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1967.0,1.0,1.0,124472.0,62.0,7.037145996521407,15.663316892935967
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1970.0,1.0,22.0,129000.0,95.0,0.14269747470634406,16.007241070528202
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1967.0,1.0,1.0,50065.0,72.0,7.037145996521407,14.375983906660764
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1969.0,1.0,1.0,57540.0,26.0,6.538508234058439,14.848081240873332
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1966.0,1.0,1.0,85400.0,49.0,6.293293205349866,14.245342534557048
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1966.0,1.0,1.0,55700.0,63.0,6.227590315087394,13.177072537324735
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1964.0,1.0,1.0,53250.0,96.0,6.170795991935086,14.381388554421592
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1987.0,1.0,6.0,50245.0,98.0,2.4624449096138488,14.613031942936987
NORTHWEST,Bâtiments Industriels et de Stockage,1986.0,1.0,3.0,64660.0,89.0,12.017358248438837,12.71776867178599
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1968.0,1.0,1.0,161678.0,25.0,3.8817116979591386,16.12744907102242
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1949.0,1.0,1.0,101101.0,1.0,4.033122794473168,16.87617388497994
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1980.0,1.0,1.0,52613.0,80.0,3.8682684291523755,14.023437115873623
GREATER DUWAMISH,Bâtiments Autres,1940.0,1.0,1.0,56608.0,,4.131847827086252,15.47308909032628
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1953.0,1.0,1.0,104099.0,,4.296893973901327,16.673540294611207
NORTHWEST,Bâtiments de Vente et de Services,2003.0,1.0,1.0,50734.0,41.0,9.8785063957123,16.528664844366464
NORTH,Bâtiments de Vente et de Services,1980.0,1.0,1.0,58480.0,37.0,14.352014930640598,16.24132454209988
LAKE UNION,Bâtiments Commerciaux et Administratifs,2005.0,1.0,6.0,211900.0,95.0,1.711728106062014,16.03472523760877
LAKE UNION,Bâtiments de Vente et de Services,1996.0,1.0,4.0,104014.0,42.0,1.6850049066704524,16.161486886151348
CENTRAL,Bâtiments Commerciaux et Administratifs,1914.0,1.0,2.0,62220.0,32.0,2.2035610315959038,15.510071390374987
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1970.0,1.0,1.0,65430.0,89.0,2.0878765016021665,15.09267661979144
NORTHEAST,Bâtiments Commerciaux et Administratifs,2006.0,1.0,3.0,59850.0,26.0,7.101032522133685,15.626149434334254
CENTRAL,Bâtiments Autres,1926.0,1.0,3.0,80004.0,,2.0701894113920924,16.31957624563627
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1991.0,1.0,2.0,323916.0,92.0,4.574056868744146,15.98653408837265
LAKE UNION,Bâtiments Commerciaux et Administratifs,1978.0,1.0,4.0,54175.0,,3.9696323084705263,15.406947521105222
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1989.0,1.0,2.0,98024.0,94.0,7.576325928372505,14.561769384957199
LAKE UNION,Bâtiments Commerciaux et Administratifs,1990.0,1.0,5.0,77953.0,62.0,2.2247624495313674,15.48666012471026
NORTH,Bâtiments de Vente et de Services,1950.0,1.0,2.0,302812.0,97.0,11.421117714265959,15.867502405419756
NORTHWEST,Bâtiments Commerciaux et Administratifs,1974.0,1.0,5.0,86400.0,53.0,11.389108760703412,16.04186461130626
NORTH,Bâtiments Autres,1969.0,1.0,2.0,98539.0,,11.661946868151068,15.520670474482348
NORTHWEST,Bâtiments Commerciaux et Administratifs,1981.0,1.0,6.0,86483.0,56.0,11.375045006329795,15.708092787795021
DELRIDGE,Bâtiments Industriels et de Stockage,1976.0,1.0,1.0,51600.0,75.0,7.334237379910062,13.994739211660777
DELRIDGE,Bâtiments Industriels et de Stockage,1968.0,1.0,1.0,140520.0,61.0,7.58289328561564,14.73297040615554
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1986.0,1.0,5.0,91649.0,95.0,2.973815184339313,15.349448221785124
NORTHWEST,Bâtiments Autres,2005.0,1.0,3.0,69854.0,,11.5476584262964,15.770515580135337
NORTHWEST,Bâtiments Commerciaux et Administratifs,2005.0,1.0,3.0,63909.0,,11.966139533843414,15.376966424613306
NORTHWEST,Bâtiments Industriels et de Stockage,1948.0,1.0,2.0,53472.0,,10.378013895547674,13.878776277245615
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1980.0,1.0,1.0,50417.0,14.0,8.684572657541308,14.580893163913204
NORTHWEST,Bâtiments Commerciaux et Administratifs,1961.0,1.0,3.0,133298.0,21.0,11.06042735404882,16.590676394091563
NORTH,Bâtiments de Vente et de Services,1965.0,1.0,2.0,168619.0,78.0,11.421117714265959,15.720366840380976
LAKE UNION,Bâtiments Commerciaux et Administratifs,2000.0,1.0,4.0,104500.0,91.0,2.160910082952017,15.685214920606796
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1969.0,1.0,2.0,104786.0,93.0,4.906424413380113,13.958098720206296
GREATER DUWAMISH,Bâtiments Autres,2000.0,1.0,1.0,11440.0,,5.242502001561368,14.458116858370493
GREATER DUWAMISH,Bâtiments Autres,1973.0,1.0,1.0,110689.0,,5.294657784117114,14.84151631086129
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1948.0,1.0,1.0,53620.0,86.0,5.417576932556299,14.578909167695093
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1938.0,1.0,1.0,50008.0,62.0,5.4238806886496125,15.033529008750468
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,2009.0,1.0,4.0,191000.0,98.0,3.3887334663611903,15.711231990331338
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1957.0,1.0,1.0,50832.0,63.0,4.39547865594657,14.752005111155329
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1971.0,1.0,1.0,76354.0,70.0,4.8504187156275975,14.842538942746808
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1956.0,1.0,1.0,98480.0,65.0,4.39851554211073,14.879754634363445
LAKE UNION,Bâtiments Autres,1920.0,1.0,3.0,106003.0,,2.934734301253122,16.781800889948247
LAKE UNION,Bâtiments Commerciaux et Administratifs,1971.0,1.0,11.0,124721.0,58.0,2.8145373707041625,16.478550771019826
LAKE UNION,Bâtiments Commerciaux et Administratifs,1970.0,1.0,7.0,94002.0,70.0,3.2287200238574894,15.549329248561316
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1974.0,1.0,1.0,93020.0,60.0,5.562809428087368,14.040512281806098
DOWNTOWN,Bâtiments Autres,1946.0,1.0,1.0,23000.0,,1.6896369478344335,13.648148374707246
SOUTHEAST,Bâtiments de Vente et de Services,2002.0,1.0,1.0,61053.0,32.0,10.561084542124021,16.422960377454114
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1904.0,1.0,5.0,78920.0,88.0,0.674234186843729,14.856026022034522
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1906.0,1.0,7.0,99440.0,64.0,0.7189792295700651,15.713073819588503
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1907.0,1.0,6.0,73260.0,82.0,0.7175861055638625,14.9210309307799
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,4.0,69817.0,87.0,0.5808846061846725,14.682671863125968
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,4.0,84750.0,,0.518624646376525,14.588011401168437
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,6.0,62176.0,,0.40387253737095274,15.134626984423948
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,4.0,164380.0,79.0,0.6055673552312951,15.866924726665937
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1907.0,1.0,7.0,160580.0,98.0,0.7255040064387085,15.31998454275579
DOWNTOWN,Bâtiments Autres,1906.0,1.0,3.0,67755.0,,0.7539460874572682,14.524331941375822
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1922.0,1.0,1.0,82852.0,83.0,1.3658420141593757,14.720587044581858
GREATER DUWAMISH,Bâtiments Autres,1953.0,1.0,2.0,76442.0,,2.8517840256589984,15.343409293573206
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1962.0,1.0,2.0,92792.0,56.0,3.169589589566971,15.060235090341834
GREATER DUWAMISH,Bâtiments Autres,1941.0,2.0,2.0,125519.0,,2.2880870129362827,14.623912246814582
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1900.0,1.0,4.0,103200.0,80.0,2.3796282933119643,15.291336388804298
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1954.0,1.0,1.0,78814.0,69.0,1.9140117271605226,13.722476329965632
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1904.0,1.0,4.0,58970.0,,1.1288337403225013,14.466201270959516
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1910.0,1.0,6.0,64800.0,15.0,1.221110380871726,14.804559716050251
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1907.0,1.0,4.0,56270.0,,1.2655992322851681,13.870740064046108
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1904.0,1.0,4.0,66842.0,31.0,0.8898792531143057,15.529335872734977
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1909.0,1.0,6.0,64488.0,81.0,0.9587275177681511,14.90491180493763
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1904.0,1.0,7.0,184322.0,81.0,0.7778652158202263,16.089993560197225
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2009.0,1.0,7.0,287853.0,43.0,0.8203587301121319,17.056817278693114
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1914.0,1.0,2.0,64512.0,53.0,1.4476854141936732,15.62621616035112
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1926.0,1.0,7.0,144050.0,26.0,2.376536987455687,15.285152467443162
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1930.0,1.0,3.0,60592.0,16.0,2.502056347669653,15.446224619371195
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1912.0,1.0,6.0,1380959.0,79.0,2.5830679842869393,18.136357092353368
GREATER DUWAMISH,Bâtiments de Vente et de Services,1993.0,1.0,1.0,107930.0,57.0,2.960406336495905,15.842256309060497
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1926.0,1.0,1.0,99084.0,83.0,3.7887715753591875,14.424345397675527
DELRIDGE,Bâtiments Industriels et de Stockage,1953.0,1.0,1.0,72719.0,28.0,4.483670298011466,14.835932269927095
EAST,Bâtiments Commerciaux et Administratifs,1930.0,1.0,4.0,76624.0,91.0,1.175219902543582,14.968245671619902
NORTHEAST,Bâtiments Commerciaux et Administratifs,2001.0,1.0,6.0,55123.0,2.0,6.423040146556175,15.963845032804059
LAKE UNION,Bâtiments Commerciaux et Administratifs,2008.0,1.0,5.0,89191.0,6.0,2.1056265380699246,16.805830762658243
DELRIDGE,Bâtiments Commerciaux et Administratifs,1991.0,1.0,5.0,121885.0,41.0,4.727439436748954,15.941577481886839
GREATER DUWAMISH,Bâtiments de Vente et de Services,1973.0,1.0,1.0,56572.0,66.0,4.334006649186748,14.748005883339852
EAST,Bâtiments Commerciaux et Administratifs,2004.0,1.0,1.0,225982.0,53.0,0.9589545594444692,16.848770525785056
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2000.0,1.0,11.0,312512.0,,0.9039672569106214,17.06382956673999
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2005.0,1.0,42.0,1592914.0,97.0,0.4108670960342462,17.854798912808295
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1926.0,1.0,6.0,97720.0,,0.6671523221718647,14.722972934335456
EAST,Bâtiments Commerciaux et Administratifs,1985.0,1.0,10.0,215923.0,46.0,1.0207475696863488,16.663601561107395
CENTRAL,Bâtiments Commerciaux et Administratifs,1987.0,1.0,7.0,94500.0,68.0,1.6914558434224818,15.562889799941571
DELRIDGE,Bâtiments de Vente et de Services,2005.0,1.0,1.0,94713.0,79.0,7.9431449415368505,15.576933406695247
EAST,Bâtiments Commerciaux et Administratifs,2008.0,1.0,9.0,201560.0,58.0,0.4272156276219326,16.510305292264036
EAST,Bâtiments Commerciaux et Administratifs,1973.0,1.0,19.0,163504.0,50.0,0.777173370384236,16.555769703534885
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,6.0,205521.0,94.0,0.2222012798013666,15.950384086566354
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,6.0,56700.0,55.0,0.3432435307686614,14.93586982428378
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1925.0,1.0,4.0,72000.0,89.0,1.2474250021354387,14.823148171597065
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,2000.0,1.0,4.0,96254.0,93.0,3.20967328366428,15.445046250211195
DELRIDGE,Bâtiments Autres,2001.0,1.0,3.0,57236.0,,4.828667405503467,16.07694443558416
SOUTHEAST,Bâtiments Autres,1994.0,3.0,1.0,102133.0,,5.181046588449193,16.879192699265875
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2008.0,1.0,14.0,362046.0,86.0,1.189769381316704,16.57079937099466
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1994.0,3.0,2.0,81336.0,,2.7313181936431867,16.407801923334414
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2001.0,1.0,23.0,538933.0,90.0,0.7238840446312336,16.609114897021097
DOWNTOWN,Bâtiments Autres,1983.0,1.0,6.0,78852.0,,1.4139901208636114,15.470601241903946
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1982.0,1.0,5.0,98668.0,91.0,2.9595965401664883,15.295984459957117
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,2007.0,1.0,1.0,130550.0,12.0,3.326512248462515,16.049416408855958
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1978.0,1.0,1.0,105100.0,1.0,6.405917506506924,16.932194220416193
MAGNOLIA / QUEEN ANNE,Bâtiments de Vente et de Services,1978.0,1.0,1.0,50660.0,51.0,4.502866498569453,14.899433991685767
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1937.0,1.0,2.0,61929.0,59.0,4.317222717283606,14.699944921211479
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,2000.0,1.0,4.0,110111.0,1.0,3.0816602719296275,17.05332930735677
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1925.0,1.0,3.0,20565.0,65.0,1.7077030054468127,13.629302659116536
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,2000.0,1.0,5.0,103966.0,63.0,2.896918478449375,15.877039306735476
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,2008.0,1.0,5.0,137201.0,56.0,2.772056964597312,16.513927844498102
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1986.0,1.0,5.0,129362.0,95.0,2.4905797233874356,15.573310801439737
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1986.0,1.0,7.0,197203.0,63.0,2.363101558498973,16.35946089427429
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1993.0,1.0,3.0,187130.0,77.0,1.8149298571704886,16.16169541589962
