Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_SiteEnergyUseWN(kBtu)
LAKE UNION,Bâtiments d'Hébergement,2008.0,1.0,6.0,63371.0,74.0,1.6567589581806643,15.147216728799762
EAST,Bâtiments Commerciaux et Administratifs,1965.0,1.0,3.0,179014.0,48.0,1.234165093083162,16.62054904521394
EAST,Bâtiments d'Hébergement,1908.0,1.0,7.0,76631.0,71.0,0.667821373649339,15.796612918292867
LAKE UNION,Bâtiments de Vente et de Services,1929.0,1.0,2.0,58320.0,96.0,1.958618681254962,14.033061499750707
LAKE UNION,Bâtiments Commerciaux et Administratifs,2010.0,1.0,5.0,316306.0,96.0,2.1485258307516353,16.448066154186936
LAKE UNION,Bâtiments d'Hébergement,1990.0,1.0,7.0,238097.0,37.0,2.380254625110922,16.820926146527857
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,1.0,389000.0,,2.43898877507852,16.98254241053388
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,1.0,91213.0,,2.43898877507852,15.917432755465748
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1938.0,1.0,5.0,396085.0,,2.43898877507852,16.872236185344697
LAKE UNION,Bâtiments Commerciaux et Administratifs,2010.0,1.0,12.0,571329.0,91.0,1.8022333805782187,17.508218499060412
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,2.0,52000.0,,2.4697290782908334,14.802164222362995
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1928.0,1.0,1.0,60696.0,,2.4697290782908334,13.683057797692378
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1928.0,1.0,2.0,262048.0,,2.4960230705460216,16.85159372308695
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1986.0,1.0,2.0,63888.0,,2.3764606039538174,15.248714446917512
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,2010.0,1.0,6.0,616891.0,93.0,2.282369987990918,17.455858925595255
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1970.0,1.0,4.0,50283.0,68.0,2.541420745016368,15.1095105434176
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,2002.0,1.0,6.0,59976.0,56.0,2.6600567484251103,15.47839899628798
NORTHEAST,Bâtiments d'Hébergement,1962.0,2.0,4.0,50017.0,53.0,5.982837819138688,15.525441830648465
EAST,Bâtiments Éducatifs et Culturels,1923.0,1.0,3.0,67743.0,34.0,2.9667153207152164,14.926204567824884
EAST,Bâtiments Éducatifs et Culturels,1908.0,1.0,6.0,194104.0,100.0,3.245053440844963,15.790158228968243
SOUTHEAST,Bâtiments Commerciaux et Administratifs,2003.0,1.0,3.0,63681.0,63.0,3.366838785002776,15.42108873117918
NORTHEAST,Bâtiments Autres,1941.0,1.0,4.0,56521.0,,7.9277176354073156,15.666672098076255
NORTHEAST,Bâtiments Autres,1929.0,1.0,2.0,206934.0,,7.937539313757545,15.293615003421793
NORTHWEST,Bâtiments d'Hébergement,2001.0,1.0,4.0,51390.0,89.0,14.083169042172331,15.100938456691251
NORTHWEST,Bâtiments Éducatifs et Culturels,1959.0,1.0,1.0,245587.0,92.0,13.420667436030552,16.37048082800533
NORTHWEST,Bâtiments d'Hébergement,2002.0,1.0,3.0,69138.0,78.0,13.41326401523026,15.016499364594157
DOWNTOWN,Bâtiments d'Hébergement,1904.0,1.0,5.0,190980.0,98.0,0.24186758710978964,15.688234771198152
DOWNTOWN,Bâtiments Autres,1998.0,1.0,6.0,284100.0,,0.40945321732843337,16.51565969436572
BALLARD,Bâtiments de Soins de Santé,1954.0,4.0,5.0,285333.0,14.0,7.7457736519881895,17.678400481433403
DOWNTOWN,Bâtiments Autres,2006.0,1.0,4.0,61156.0,,0.6117204453715432,16.072126788172692
DOWNTOWN,Bâtiments Autres,1910.0,1.0,4.0,59000.0,,1.117230407860815,14.555148236678022
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1996.0,1.0,4.0,148022.0,76.0,2.5471104305871695,15.897015219947063
EAST,Bâtiments Éducatifs et Culturels,1915.0,1.0,3.0,63330.0,,1.4183235450213876,15.004638368595145
DELRIDGE,Bâtiments Éducatifs et Culturels,1970.0,27.0,2.0,441071.0,,6.614248446077257,17.532776598416856
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,2.0,96300.0,,9.657649930236186,16.605106951325045
GREATER DUWAMISH,Bâtiments Autres,1950.0,1.0,1.0,67356.0,,1.4013254166222548,15.905759921657518
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1958.0,1.0,1.0,54765.0,,8.304122199619414,15.320403733014063
GREATER DUWAMISH,Bâtiments Autres,2009.0,1.0,5.0,89821.0,,8.410623865183291,14.613376923573528
MAGNOLIA / QUEEN ANNE,Bâtiments Éducatifs et Culturels,1980.0,1.0,2.0,52611.0,,5.566832264772774,15.29487600307429
NORTH,Bâtiments Éducatifs et Culturels,2011.0,1.0,2.0,236758.0,96.0,11.780768987951683,16.044176522510963
CENTRAL,Bâtiments Autres,1971.0,3.0,6.0,250981.0,,1.3623657005091443,16.46848452891792
DOWNTOWN,Bâtiments Autres,2004.0,1.0,11.0,230638.0,,1.2211586742022917,18.005169799980575
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,2007.0,1.0,3.0,64015.0,21.0,7.765906938142737,15.031910993386816
NORTH,Bâtiments de Vente et de Services,1951.0,1.0,1.0,530039.0,98.0,11.421117714265959,17.17461774544749
NORTH,Bâtiments Autres,1964.0,1.0,3.0,54224.0,,11.334412466173395,15.85267214176995
NORTH,Bâtiments de Vente et de Services,1965.0,1.0,4.0,124342.0,76.0,11.264255659167361,15.982266649422225
NORTHEAST,Bâtiments de Soins de Santé,1953.0,6.0,10.0,879000.0,10.0,7.4790680289587375,19.367555806403008
NORTHWEST,Bâtiments Autres,1996.0,1.0,3.0,55442.0,72.0,11.624133467048985,15.013484806876807
EAST,Bâtiments Industriels et de Stockage,1910.0,1.0,5.0,84870.0,,1.4834837296577705,14.296579150342621
NORTHWEST,Bâtiments Éducatifs et Culturels,1970.0,11.0,2.0,582447.0,,10.489899207871458,17.43747001748244
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1904.0,1.0,4.0,114297.0,61.0,6.05228280080031,14.697401752119312
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1937.0,1.0,1.0,234144.0,87.0,5.114751301291409,15.879198599805603
DELRIDGE,Bâtiments de Vente et de Services,1966.0,1.0,1.0,64984.0,72.0,9.493364993203002,14.919566171488926
DELRIDGE,Bâtiments de Vente et de Services,1965.0,1.0,1.0,67745.0,37.0,9.493364993203002,16.07620318785763
DELRIDGE,Bâtiments Éducatifs et Culturels,2010.0,1.0,2.0,367884.0,97.0,8.761524885808365,16.401720378507022
